word,frequency,vowel_count,rare_letter_count,has_duplicates,difficulty
mends,1.26e-07,1,0,False,Hard
pisco,1.55e-07,2,0,False,Hard
cilia,4.47e-07,3,0,True,Hard
algos,5.13e-08,2,0,False,Hard
nenes,0.0,2,0,True,Hard
karma,7.59e-06,2,1,True,Hard
neant,0.0,2,0,True,Hard
visie,0.0,3,0,True,Hard
volar,6.03e-08,2,0,False,Hard
burro,2.24e-07,2,0,True,Hard
doeth,1.05e-07,2,0,False,Hard
ecrus,0.0,2,0,False,Hard
dekes,1.23e-08,2,1,True,Hard
seepy,0.0,2,0,True,Hard
facts,5.25e-05,1,0,False,Medium
pours,1.66e-06,2,0,False,Hard
gambo,2.88e-08,2,0,False,Hard
mensa,4.57e-07,2,0,False,Hard
swept,8.71e-06,1,0,False,Hard
oafos,0.0,3,0,True,Hard
shock,2.88e-05,1,1,False,Medium
roams,3.31e-07,2,0,False,Hard
potts,1.38e-06,1,0,True,Hard
piker,5.01e-08,2,1,False,Hard
tings,1.91e-07,1,0,False,Hard
fount,1.91e-07,2,0,False,Hard
daunt,1.1e-07,2,0,False,Hard
battu,0.0,2,0,True,Hard
licit,8.71e-08,2,0,True,Hard
cider,3.16e-06,2,0,False,Hard
fords,5.5e-07,1,0,False,Hard
palms,3.55e-06,1,0,False,Hard
wheep,0.0,2,0,True,Hard
copes,2.88e-07,2,0,False,Hard
whelm,2e-08,1,0,False,Hard
usnea,1.74e-08,3,0,False,Hard
staid,3.8e-07,2,0,False,Hard
dosai,0.0,3,0,False,Hard
patka,1.02e-08,2,1,True,Hard
gamas,0.0,2,0,True,Hard
drome,5.89e-08,2,0,False,Hard
licks,1.26e-06,1,1,False,Hard
aldea,5.62e-08,3,0,True,Hard
snowy,2.88e-06,1,0,False,Hard
quods,0.0,2,1,False,Hard
waker,1.58e-07,2,1,False,Hard
syphs,0.0,0,0,True,Hard
stumm,4.17e-08,1,0,True,Hard
chore,1.41e-06,2,0,False,Hard
silts,5.37e-08,1,0,True,Hard
